DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,7S,20330,Ryan Air f/k/a Arctic Transportation,7S,10551,BET,"Bethel, AK",AK,12855,KWT,"Kwethluk, AK",AK,412,2,G
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11433,DTW,"Detroit, MI",MI,15096,SYR,"Syracuse, NY",NY,631,2,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,15096,SYR,"Syracuse, NY",NY,11433,DTW,"Detroit, MI",MI,631,2,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12478,JFK,"New York, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,10721,BOS,"Boston, MA",MA,14306,PVC,"Provincetown, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,10721,BOS,"Boston, MA",MA,14321,PWM,"Portland, ME",ME,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12478,JFK,"New York, NY",NY,10154,ACK,"Nantucket, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,14306,PVC,"Provincetown, MA",MA,10721,BOS,"Boston, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,14321,PWM,"Portland, ME",ME,10721,BOS,"Boston, MA",MA,125,2,F
