DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,13244,MEM,"Memphis, TN",TN,11433,DTW,"Detroit, MI",MI,631,2,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,10721,BOS,"Boston, MA",MA,14321,PWM,"Portland, ME",ME,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,13930,ORD,"Chicago, IL",IL,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,11288,DEC,"Decatur, IL",IL,15016,STL,"St. Louis, MO",MO,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,12250,HYA,"Hyannis, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,14306,PVC,"Provincetown, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12250,HYA,"Hyannis, MA",MA,12197,HPN,"White Plains, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,12250,HYA,"Hyannis, MA",MA,13541,MVY,"Martha's Vineyard, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,13176,MAZ,"Mayaguez, PR",PR,14843,SJU,"San Juan, PR",PR,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12250,HYA,"Hyannis, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,13930,ORD,"Chicago, IL",IL,11288,DEC,"Decatur, IL",IL,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,14306,PVC,"Provincetown, MA",MA,12197,HPN,"White Plains, NY",NY,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,14321,PWM,"Portland, ME",ME,10721,BOS,"Boston, MA",MA,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,14843,SJU,"San Juan, PR",PR,13176,MAZ,"Mayaguez, PR",PR,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,15016,STL,"St. Louis, MO",MO,11288,DEC,"Decatur, IL",IL,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,15027,STX,"Christiansted, VI",VI,15626,VQS,"Vieques, PR",PR,125,2,F
0.00,0.00,9K,20253,Cape Air,9K,15626,VQS,"Vieques, PR",PR,15027,STX,"Christiansted, VI",VI,125,2,F
0.00,0.00,B6,20409,JetBlue Airways,B6,10721,BOS,"Boston, MA",MA,13502,MTJ,"Montrose/Delta, CO",CO,699,2,F
0.00,0.00,B6,20409,JetBlue Airways,B6,13502,MTJ,"Montrose/Delta, CO",CO,10721,BOS,"Boston, MA",MA,699,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10155,ACT,"Waco, TX",TX,11027,CKB,"Clarksburg/Fairmont, WV",WV,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10155,ACT,"Waco, TX",TX,12266,IAH,"Houston, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10216,AHN,"Athens, GA",GA,12266,IAH,"Houston, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10683,BMG,"Bloomington, IN",IN,11618,EWR,"Newark, NJ",NJ,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10683,BMG,"Bloomington, IN",IN,12339,IND,"Indianapolis, IN",IN,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,11027,CKB,"Clarksburg/Fairmont, WV",WV,10155,ACT,"Waco, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,11027,CKB,"Clarksburg/Fairmont, WV",WV,12266,IAH,"Houston, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,11049,CLL,"College Station/Bryan, TX",TX,10216,AHN,"Athens, GA",GA,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,11618,EWR,"Newark, NJ",NJ,10683,BMG,"Bloomington, IN",IN,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,11726,FOE,"Topeka, KS",KS,10155,ACT,"Waco, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,11789,FTW,"Dallas/Fort Worth, TX",TX,13290,MHK,"Manhattan/Ft. Riley, KS",KS,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,12266,IAH,"Houston, TX",TX,10155,ACT,"Waco, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,12266,IAH,"Houston, TX",TX,13290,MHK,"Manhattan/Ft. Riley, KS",KS,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,12266,IAH,"Houston, TX",TX,15074,SWO,"Stillwater, OK",OK,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,12339,IND,"Indianapolis, IN",IN,11618,EWR,"Newark, NJ",NJ,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,13256,MFE,"Mission/McAllen/Edinburg, TX",TX,12206,HRL,"Harlingen/San Benito, TX",TX,675,2,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,15074,SWO,"Stillwater, OK",OK,10423,AUS,"Austin, TX",TX,675,2,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10868,CAE,"Columbia, SC",SC,13697,N1C,"Cherry Point, NC",NC,699,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11259,DAL,"Dallas, TX",TX,13851,OKC,"Oklahoma City, OK",OK,622,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,11259,DAL,"Dallas, TX",TX,622,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11637,FAR,"Fargo, ND",ND,13487,MSP,"Minneapolis, MN",MN,694,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,13697,N1C,"Cherry Point, NC",NC,696,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,14533,RIV,"Riverside, CA",CA,888,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,16218,YUM,"Yuma, AZ",AZ,624,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13487,MSP,"Minneapolis, MN",MN,13244,MEM,"Memphis, TN",TN,622,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13495,MSY,"New Orleans, LA",LA,13204,MCO,"Orlando, FL",FL,622,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13543,MWA,"Marion/Herrin, IL",IL,15016,STL,"St. Louis, MO",MO,694,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13662,NGF,"Kaneohe, HI",HI,12892,LAX,"Los Angeles, CA",CA,622,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13662,NGF,"Kaneohe, HI",HI,12892,LAX,"Los Angeles, CA",CA,888,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13697,N1C,"Cherry Point, NC",NC,10397,ATL,"Atlanta, GA",GA,624,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13697,N1C,"Cherry Point, NC",NC,10397,ATL,"Atlanta, GA",GA,626,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13697,N1C,"Cherry Point, NC",NC,11433,DTW,"Detroit, MI",MI,339,2,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13697,N1C,"Cherry Point, NC",NC,13728,NPA,"Pensacola, FL",FL,699,2,L
