DEPARTURES_PERFORMED,PASSENGERS,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH,CLASS
0.00,0.00,4B,21599,Boutique Air,4B,10397,ATL,"Atlanta, GA",GA,12039,GWO,"Greenwood, MS",MS,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,10950,CEZ,"Cortez, CO",CO,10950,CEZ,"Cortez, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,10950,CEZ,"Cortez, CO",CO,13502,MTJ,"Montrose/Delta, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,10950,CEZ,"Cortez, CO",CO,15177,TEX,"Telluride, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,10558,BFF,"Scottsbluff, NE",NE,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,13502,MTJ,"Montrose/Delta, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,11292,DEN,"Denver, CO",CO,15177,TEX,"Telluride, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,11298,DFW,"Dallas/Fort Worth, TX",TX,11298,DFW,"Dallas/Fort Worth, TX",TX,458,12,F
0.00,0.00,4B,21599,Boutique Air,4B,11931,GLH,"Greenville, MS",MS,11931,GLH,"Greenville, MS",MS,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,12039,GWO,"Greenwood, MS",MS,11931,GLH,"Greenville, MS",MS,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,13194,MCE,"Merced, CA",CA,13194,MCE,"Merced, CA",CA,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,13502,MTJ,"Montrose/Delta, CO",CO,10950,CEZ,"Cortez, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,13502,MTJ,"Montrose/Delta, CO",CO,11292,DEN,"Denver, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,14107,PHX,"Phoenix, AZ",AZ,14107,PHX,"Phoenix, AZ",AZ,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,14122,PIT,"Pittsburgh, PA",PA,14122,PIT,"Pittsburgh, PA",PA,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,15177,TEX,"Telluride, CO",CO,10950,CEZ,"Cortez, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,15177,TEX,"Telluride, CO",CO,11292,DEN,"Denver, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,15177,TEX,"Telluride, CO",CO,15177,TEX,"Telluride, CO",CO,479,12,F
0.00,0.00,4B,21599,Boutique Air,4B,15569,VCT,"Victoria, TX",TX,15569,VCT,"Victoria, TX",TX,479,12,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,11433,DTW,"Detroit, MI",MI,14685,SAV,"Savannah, GA",GA,638,12,F
0.00,0.00,9E,20363,Endeavor Air Inc.,9E,14100,PHL,"Philadelphia, PA",PA,10721,BOS,"Boston, MA",MA,638,12,F
0.00,0.00,9K,20253,Cape Air,9K,10154,ACK,"Nantucket, MA",MA,12197,HPN,"White Plains, NY",NY,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,10154,ACK,"Nantucket, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,12250,HYA,"Hyannis, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,13541,MVY,"Martha's Vineyard, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12197,HPN,"White Plains, NY",NY,14306,PVC,"Provincetown, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12250,HYA,"Hyannis, MA",MA,12197,HPN,"White Plains, NY",NY,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,12250,HYA,"Hyannis, MA",MA,13541,MVY,"Martha's Vineyard, MA",MA,125,12,F
0.00,0.00,9K,20253,Cape Air,9K,13541,MVY,"Martha's Vineyard, MA",MA,12197,HPN,"White Plains, NY",NY,125,12,F
0.00,0.00,C5,20445,CommuteAir LLC dba CommuteAir,C5,10874,CAK,"Akron, OH",OH,12451,JAX,"Jacksonville, FL",FL,675,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10140,ABQ,"Albuquerque, NM",NM,14771,SFO,"San Francisco, CA",CA,655,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,10821,BWI,"Baltimore, MD",MD,10721,BOS,"Boston, MA",MA,626,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11433,DTW,"Detroit, MI",MI,12953,LGA,"New York, NY",NY,723,12,F
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,11764,FRG,"East Farmingdale, NY",NY,10792,BUF,"Buffalo, NY",NY,614,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12478,JFK,"New York, NY",NY,11764,FRG,"East Farmingdale, NY",NY,614,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,12892,LAX,"Los Angeles, CA",CA,14307,PVD,"Providence, RI",RI,699,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,13495,MSY,"New Orleans, LA",LA,10140,ABQ,"Albuquerque, NM",NM,655,12,L
0.00,0.00,DL,19790,Delta Air Lines Inc.,DL,14122,PIT,"Pittsburgh, PA",PA,10821,BWI,"Baltimore, MD",MD,626,12,L
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,10613,BID,"Block Island, RI",RI,15855,WST,"Westerly, RI",RI,079,12,F
0.00,0.00,NEW,20273,New England Airlines Inc.,NEW,15855,WST,"Westerly, RI",RI,10613,BID,"Block Island, RI",RI,079,12,F
0.00,0.00,UA,19977,United Air Lines Inc.,UA,12266,IAH,"Houston, TX",TX,11618,EWR,"Newark, NJ",NJ,612,12,F
0.00,0.00,XP,20207,TEM Enterprises dba  Avelo Airlines,XP,11697,FLL,"Fort Lauderdale, FL",FL,11697,FLL,"Fort Lauderdale, FL",FL,617,12,L
0.00,0.00,XP,20207,TEM Enterprises dba  Avelo Airlines,XP,14107,PHX,"Phoenix, AZ",AZ,14107,PHX,"Phoenix, AZ",AZ,617,12,L
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10140,ABQ,"Albuquerque, NM",NM,13502,MTJ,"Montrose/Delta, CO",CO,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10140,ABQ,"Albuquerque, NM",NM,14570,RNO,"Reno, NV",NV,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,10397,ATL,"Atlanta, GA",GA,12217,HSV,"Huntsville, AL",AL,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11049,CLL,"College Station/Bryan, TX",TX,12266,IAH,"Houston, TX",TX,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11109,COS,"Colorado Springs, CO",CO,14869,SLC,"Salt Lake City, UT",UT,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11140,CRP,"Corpus Christi, TX",TX,12266,IAH,"Houston, TX",TX,631,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,11292,DEN,"Denver, CO",CO,14869,SLC,"Salt Lake City, UT",UT,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12889,LAS,"Las Vegas, NV",NV,14570,RNO,"Reno, NV",NV,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12951,LFT,"Lafayette, LA",LA,13422,MOB,"Mobile, AL",AL,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12992,LIT,"Little Rock, AR",AR,12266,IAH,"Houston, TX",TX,631,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,12992,LIT,"Little Rock, AR",AR,12448,JAN,"Jackson/Vicksburg, MS",MS,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,13158,MAF,"Midland/Odessa, TX",TX,11540,ELP,"El Paso, TX",TX,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,14107,PHX,"Phoenix, AZ",AZ,14262,PSP,"Palm Springs, CA",CA,673,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,14307,PVD,"Providence, RI",RI,13296,MHT,"Manchester, NH",NH,631,12,F
0.00,0.00,YV,20378,Mesa Airlines Inc.,YV,15370,TUL,"Tulsa, OK",OK,13851,OKC,"Oklahoma City, OK",OK,673,12,F
0.00,0.00,YX,20452,Republic Airline,YX,10721,BOS,"Boston, MA",MA,12244,HVN,"New Haven, CT",CT,673,12,F
0.00,0.00,YX,20452,Republic Airline,YX,11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,677,12,F
0.00,0.00,YX,20452,Republic Airline,YX,14524,RIC,"Richmond, VA",VA,11618,EWR,"Newark, NJ",NJ,673,12,F
0.00,0.00,YX,20452,Republic Airline,YX,14685,SAV,"Savannah, GA",GA,12124,HHH,"Hilton Head, SC",SC,673,12,F
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10135,ABE,"Allentown/Bethlehem/Easton, PA",PA,15096,SYR,"Syracuse, NY",NY,619,12,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10136,ABI,"Abilene, TX",TX,13360,MLB,"Melbourne, FL",FL,619,12,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10136,ABI,"Abilene, TX",TX,14842,SJT,"San Angelo, TX",TX,617,12,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10140,ABQ,"Albuquerque, NM",NM,11109,COS,"Colorado Springs, CO",CO,617,12,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10155,ACT,"Waco, TX",TX,14492,RDU,"Raleigh/Durham, NC",NC,617,12,L
1.00,0.00,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,10155,ACT,"Waco, TX",TX,15304,TPA,"Tampa, FL",FL,617,12,L
