ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION
10005,05A,AK,Little Squaw Airport,Little Squaw
10006,06A,AK,Kizhuyak Bay,Kizhuyak
10011,GCW,AZ,Grand Canyon West,Peach Springs
10039,A26,AK,Ivotuk Airstrip,Ivotuk
10042,A29,AK,Kiluda Bay Airport,Kiluda Bay
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island
10063,A50,AK,Big Bay Airport,Big Bay
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton
10136,ABI,TX,Abilene Regional,Abilene
10139,ABL,AK,Ambler River,Ambler
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque
10141,ABR,SD,Aberdeen Regional,Aberdeen
10146,ABY,GA,Southwest Georgia Regional,Albany
10154,ACK,MA,Nantucket Memorial,Nantucket
10155,ACT,TX,Waco Regional,Waco
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka
10158,ACY,NJ,Atlantic City International,Atlantic City
10165,ADK,AK,Adak,Adak Island
10170,ADQ,AK,Kodiak Airport,Kodiak
10172,ADW,MD,Joint Base Andrews,Camp Springs
10184,AET,AK,Allakaket Airport,Allakaket
10185,AEX,LA,Alexandria International,Alexandria
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth
10204,AGN,AK,Angoon Seaplane Base,Angoon
10208,AGS,GA,Augusta Regional at Bush Field,Augusta
10216,AHN,GA,Athens/Ben Epps,Athens
10221,AIA,NE,Alliance Municipal,Alliance
10225,AIN,AK,Wainwright Airport,Wainwright
10237,AKB,AK,Atka Airport,Atka
10241,AKI,AK,Akiak Airport,Akiak
10243,AKK,AK,Akhiok Airport,Akhiok
10245,AKN,AK,King Salmon Airport,King Salmon
10247,AKP,AK,Anaktuvuk Pass Airport,Anaktuvuk Pass
10257,ALB,NY,Albany International,Albany
10268,ALO,IA,Waterloo Regional,Waterloo
10272,ALS,CO,San Luis Valley Regional/Bergman Field,Alamosa
10275,ALW,WA,Walla Walla Regional,Walla Walla
10278,ALZ,AK,Alitak Seaplane Base,Lazy Bay
10279,AMA,TX,Rick Husband Amarillo International,Amarillo
10298,ANB,AL,Anniston Regional,Anniston
10299,ANC,AK,Ted Stevens Anchorage International,Anchorage
10304,ANI,AK,Aniak Airport,Aniak
10313,ANV,AK,Anvik Airport,Anvik
10322,AOO,PA,Altoona-Blair County,Altoona
10324,AOS,AK,Amook Bay Airport,Amook Bay
10325,APA,CO,Centennial,Denver
